,trade_dt_x,wind_code,CITICS_IND_CODE
33263,2019-02-28,603659.SH,b10p010100
33273,2019-02-28,603661.SH,b109020300
33274,2019-03-29,603661.SH,b109020300
33282,2019-01-31,603683.SH,b106040700
33285,2019-04-30,603683.SH,b106040700
33288,2019-07-31,603683.SH,b106040700
33291,2019-01-31,603722.SH,b106040700
33294,2019-04-30,603722.SH,b106040700
33300,2019-10-31,603722.SH,b106040700
33311,2019-01-31,603856.SH,b10a030400
33340,2019-10-31,603916.SH,b106040700
33369,2019-09-30,002864.SZ,b10i020200
33380,2019-10-31,002911.SZ,b104020300
33383,2019-03-29,002912.SZ,b10r020200
33387,2019-07-31,002912.SZ,b10r020200
33389,2019-09-30,002912.SZ,b10r020200
33400,2019-10-31,002913.SZ,b10p030100
33420,2019-10-31,002918.SZ,b108030100
33433,2019-03-29,300722.SZ,b10c030100
33440,2019-01-31,300725.SZ,b10i030100
33444,2019-05-31,300725.SZ,b10i030100
33446,2019-07-31,300725.SZ,b10i030100
33468,2019-10-31,300729.SZ,b109020300
33480,2019-02-28,300732.SZ,b10n020100
33490,2019-02-28,600025.SH,b104010200
33491,2019-03-29,600025.SH,b104010200
33496,2019-08-30,600025.SH,b104010200
33512,2019-04-30,603711.SH,b10j030300
33513,2019-05-31,603711.SH,b10j030300
33515,2019-07-31,603711.SH,b10j030300
33516,2019-08-30,603711.SH,b10j030300
33535,2019-07-31,603848.SH,b109020300
33547,2019-09-30,002915.SZ,b106030400
33616,2019-09-30,300731.SZ,b10q020300
33617,2019-10-31,300731.SZ,b10q020300
33628,2019-01-31,300735.SZ,b10q020300
33629,2019-02-28,300735.SZ,b10q020300
33630,2019-03-29,300735.SZ,b10q020300
33631,2019-04-30,300735.SZ,b10q020300
33660,2019-04-30,603283.SH,b10a020300
33661,2019-05-31,603283.SH,b10a020300
33662,2019-07-31,603283.SH,b10a020300
33673,2019-08-30,603655.SH,b10d030100
33680,2019-06-28,603890.SH,b10r010200
33697,2019-03-29,603917.SH,b10d030100
33718,2019-04-30,002923.SZ,b10i010100
33735,2019-01-31,300624.SZ,b10r020200
33783,2019-09-30,300736.SZ,b10q020200
33793,2019-10-31,300737.SZ,b108030200
33797,2019-04-30,300738.SZ,b10r030100
33798,2019-05-31,300738.SZ,b10r030100
33801,2019-08-30,300738.SZ,b10r030100
33807,2019-04-30,300739.SZ,b10p020100
33810,2019-07-31,300739.SZ,b10p020100
