,trade_dt_x,wind_code,CITICS_IND_CODE
1357,2019-04-30,000029.SZ,b10n010100
1358,2019-05-31,000029.SZ,b10n010100
1359,2019-06-28,000029.SZ,b10n010100
1360,2019-07-31,000029.SZ,b10n010100
1361,2019-08-30,000029.SZ,b10n010100
1362,2019-09-30,000029.SZ,b10n010100
1363,2019-10-31,000029.SZ,b10n010100
1411,2019-01-31,000030.SZ,b10d030100
1412,2019-02-28,000030.SZ,b10d030100
1413,2019-03-29,000030.SZ,b10d030100
1414,2019-04-30,000030.SZ,b10d030100
1415,2019-05-31,000030.SZ,b10d030100
1416,2019-06-28,000030.SZ,b10d030100
1417,2019-07-31,000030.SZ,b10d030100
1418,2019-08-30,000030.SZ,b10d030100
1419,2019-09-30,000030.SZ,b10d030100
1420,2019-10-31,000030.SZ,b10d030100
1468,2019-01-31,000031.SZ,b10n010100
1469,2019-02-28,000031.SZ,b10n010100
1470,2019-04-30,000031.SZ,b10n010100
1471,2019-05-31,000031.SZ,b10n010100
1472,2019-06-28,000031.SZ,b10n010100
1473,2019-07-31,000031.SZ,b10n010100
1474,2019-08-30,000031.SZ,b10n010100
1475,2019-09-30,000031.SZ,b10n010100
1476,2019-10-31,000031.SZ,b10n010100
1524,2019-01-31,000032.SZ,b10q020300
1525,2019-02-28,000032.SZ,b10q020300
1526,2019-03-29,000032.SZ,b10q020300
1527,2019-04-30,000032.SZ,b10q020300
1528,2019-05-31,000032.SZ,b10q020300
1529,2019-06-28,000032.SZ,b10q020300
1530,2019-07-31,000032.SZ,b10q020300
1531,2019-08-30,000032.SZ,b10q020300
1532,2019-09-30,000032.SZ,b10q020300
1533,2019-10-31,000032.SZ,b10q020300
1584,2019-01-31,000034.SZ,b10q020300
1585,2019-02-28,000034.SZ,b10q020300
1586,2019-03-29,000034.SZ,b10q020300
1587,2019-04-30,000034.SZ,b10q020300
1588,2019-05-31,000034.SZ,b10q020300
1589,2019-06-28,000034.SZ,b10q020300
1590,2019-07-31,000034.SZ,b10r030200
1591,2019-08-30,000034.SZ,b10r030200
1592,2019-09-30,000034.SZ,b10r030200
1593,2019-10-31,000034.SZ,b10r030200
1642,2019-01-31,000035.SZ,b104020100
1643,2019-02-28,000035.SZ,b104020100
